,player_name,minutes_played,goals,npg,assists,xG,xA,npxG,xG90,xA90,npxG90,position_x,shots,key_passes,yellow_cards,red_cards,xGBuildup,xGChain,market_value_in_eur,height_in_cm,age_in_months_2015,points_per_game,team_rank,player_performance_valuation_standardized
55,Brandão,578,0,0,0,0.8955387063324451,0.2985897706821561,0.8955387063324451,0.1394437432005537,0.046493216888225,0.1394437432005537,F S,8,7,2,0,0.1713903658092022,1.2177704758942127,200000.0,189.0,417.0,1.25,160,0.7720033070799583
56,Cléber,1030,1,1,0,0.7057993989437819,0.0,0.7057993989437819,0.0616717921407188,0.0,0.0616717921407188,D S,13,0,4,1,0.4442366436123848,0.7842627391219139,50000.0,183.0,274.0,1.2683823529411764,84,0.7592879305129879
57,Jaroslav Drobny,1998,0,0,0,0.0,0.2418420910835266,0.0,0.0,0.0108937878866453,0.0,GK,0,1,4,1,0.954522667452693,1.1963647585362196,50000.0,192.0,425.0,1.2683823529411764,84,0.7592879305129879
58,Steven Fletcher,1782,5,5,2,6.642455920577049,2.0515788961201906,6.642455920577049,0.3354775717463156,0.1036150957636459,0.3354775717463156,F M S,37,17,4,0,2.307069686241448,9.389526054263117,200000.0,185.0,336.0,1.0723684210526316,107,0.7592042767252154
59,Alessandro Longhi,1453,0,0,1,0.4432290373370051,0.8619979079812765,0.4432290373370051,0.0274539665246596,0.0533928504599551,0.0274539665246596,D M S,6,7,2,0,1.9616248216480017,2.9332583248615265,50000.0,185.0,309.0,1.263157894736842,178,0.7577821622370887
60,Ceyhun Gülselam,1218,1,1,0,1.393098846077919,0.2585566230118274,1.393098846077919,0.1029383383801418,0.019105169188066,0.1029383383801418,M S,18,7,6,1,1.1467181146144867,1.72441104054451,50000.0,192.0,327.0,1.213235294117647,88,0.7433937098090746
61,Ogenyi Onazi,654,1,1,1,0.8214236600324512,0.5025374386459589,0.8214236600324512,0.1130399532154749,0.069156528254031,0.1130399532154749,M S,9,10,4,0,2.6980926794931293,3.7672495348379016,100000.0,173.0,267.0,1.521594684385382,38,0.6129942140454573
62,Shinji Kagawa,1883,5,5,5,5.051944455131888,3.917682643979788,5.051944455131888,0.241463091323351,0.1872498342847482,0.241463091323351,M S,38,49,2,0,7.45311975479126,14.911291249096394,700000.0,175.0,312.0,1.959558823529412,18,0.5987563013909839
63,Christian Schulz,2649,1,1,0,1.9301984254270792,0.668771855533123,1.9301984254270792,0.0655786554505236,0.0227215805956893,0.0655786554505236,D,16,5,7,0,2.855118109844625,3.1705664414912462,100000.0,185.0,383.0,1.213235294117647,88,0.5685572820564284
64,Cesare Bovo,1267,0,0,0,0.6569815650582314,0.9612455405294896,0.6569815650582314,0.0466679880467567,0.068281056549056,0.0466679880467567,D M S,15,18,4,0,3.372022621333599,3.5886757597327232,100000.0,181.0,386.0,1.2105263157894737,147,0.5681668976910914
65,Raúl Baena,2347,2,2,0,1.4992845030501485,0.1808288814499974,1.4992845030501485,0.0574928015656213,0.0069342136048145,0.0574928015656213,M,16,5,13,1,4.302656641229987,5.051989327184856,100000.0,181.0,312.0,1.1894736842105262,130,0.5651330534497544
66,Adlène Guédioura,111,0,0,0,0.3596611078828573,0.2166497707366943,0.3596611078828573,0.291617114499614,0.1756619762729954,0.291617114499614,S,5,1,1,0,0.7279456704854965,1.2446498423814774,100000.0,178.0,352.0,1.1842105263157894,180,0.5643745923990195
67,Stefan Aigner,2094,9,9,0,7.044449065811932,1.952588954009116,7.044449065811932,0.3027700171552406,0.0839221613470966,0.3027700171552406,M S,43,28,8,0,3.5457278955727816,10.180803447961807,275000.0,183.0,331.0,1.1722689075630253,115,0.5337551312607994
68,Jorginho,1278,0,0,0,0.2535485867410898,1.199434314854443,0.2535485867410898,0.0178555342775415,0.0844672052714396,0.0178555342775415,M S,8,21,5,0,4.868702583014965,5.915071150287986,200000.0,173.0,202.0,1.780730897009967,21,0.5220292831536635
69,Connor Wickham,2782,5,5,1,7.663333743810654,1.7667257795110345,7.663333743810654,0.247915182222487,0.0571550395959716,0.247915182222487,F M S,83,21,8,0,4.778484398499131,12.30491459555924,400000.0,189.0,264.0,1.0723684210526316,107,0.5084380893529586
70,Gonzalo Rodríguez,2685,7,6,0,5.228588350117207,0.64558519795537,2.9446918442845345,0.1752599446966661,0.0216397273057665,0.0987047545570235,D,20,5,9,1,7.009212790988386,7.647633573971689,200000.0,182.0,371.0,1.57,37,0.5068453211358562
71,Antonio Cassano,1637,5,4,2,2.796377129852772,2.912595046684146,2.035078309476376,0.1537409539931273,0.1601304546130562,0.111885795878359,F S,23,39,1,0,4.029963282868266,7.724012695252895,300000.0,175.0,392.0,1.261061946902655,113,0.45385598105475194
72,Daryl Janmaat,3263,1,1,6,1.4101375555619595,2.940818589180708,1.4101375555619595,0.0388943855349605,0.0811135988434764,0.0388943855349605,D,35,31,6,1,4.356652535498142,6.786441311240196,300000.0,185.0,308.0,1.169172932330827,101,0.4498830898014192
73,Kevin Mirallas,1430,7,7,1,4.718503348529339,1.5895477198064327,3.957334525883198,0.2969687422151332,0.1000414648829223,0.2490630121185229,F M S,52,18,3,0,2.2814471749588847,6.504366559907794,350000.0,182.0,329.0,1.5230263157894737,46,0.4152557307697055
74,Rodrigo Palacio,2645,8,8,5,11.22072902135551,5.549903377890587,10.45943015627563,0.3818017436378056,0.1888435931985455,0.3558974344290384,F M S,58,62,3,0,6.5271936589851975,17.9562742523849,300000.0,176.0,397.0,1.7656765676567656,19,0.38246492506262914
75,Luca Antei,513,0,0,0,0.2223090678453445,0.0667047426104545,0.2223090678453445,0.0390015908500604,0.0117025864228867,0.0390015908500604,D S,2,1,2,0,0.5498483777046204,0.6165530979633331,75000.0,186.0,275.0,1.263157894736842,178,0.3482131908085192
76,Fabricio Coloccini,2839,1,1,0,1.3131814608350396,0.7221940457820892,1.3131814608350396,0.0416295637460914,0.0228944924693159,0.0416295637460914,D,9,2,3,1,3.2423976976424456,3.8465369660407305,75000.0,184.0,398.0,1.169172932330827,101,0.33015459418326243
77,Nicolò Cherubin,1011,0,0,0,0.5177969895303249,0.0268871709704399,0.5177969895303249,0.0460946874952811,0.0023935167035999,0.0460946874952811,D S,3,1,0,0,0.6825132723897696,0.7094004433602095,75000.0,188.0,339.0,1.1634980988593155,105,0.32906421199320274
78,Iago Falque,2369,13,11,3,9.2512801066041,4.478685908019543,7.728682436048984,0.3514627309389485,0.1701484726558711,0.2936181592420467,F M S,62,48,6,0,5.32973524928093,15.056407999247313,250000.0,174.0,302.0,1.314569536423841,65,0.32713648417594504
79,José Callejón,2974,11,11,3,10.127578787505628,6.018208951689303,10.127578787505628,0.3064835544302308,0.182124682465379,0.3064835544302308,M S,84,58,1,0,10.030327338725328,23.40731094777584,800000.0,178.0,337.0,1.780730897009967,21,0.3177172607186025
80,Imanol Agirretxe,1948,7,7,1,7.444440003484487,0.4598667565733194,7.444440003484487,0.3439422999556488,0.02124641072464,0.3439422999556488,F S,74,14,2,0,1.181643352843821,7.918224822729826,1000000.0,187.0,337.0,1.3640350877192982,98,0.29809155588208824
81,Georg Niedermeier,1683,1,1,1,2.698483072221279,0.3226322457194328,2.698483072221279,0.144303907605416,0.0172530612684188,0.144303907605416,D S,14,3,4,1,2.952839719131589,3.0709820184856653,250000.0,190.0,349.0,1.3161764705882353,73,0.29666014652972
82,Ivo Ilicevic,750,0,0,0,1.4151812558993695,0.4522242378443479,1.4151812558993695,0.1698217507079243,0.0542669085413217,0.1698217507079243,M,16,7,1,0,0.9995241109281778,2.543560752645135,400000.0,,340.0,1.2683823529411764,84,0.29530913776359974
